128,1,-2,-2,-2,-2,-89,-89,-89,-89,1,1,1,-249,-249,-249,-249,1
129,-103,-103,-103,1,1,-38,-38,-38,-38,1,1,-247,-247,-247,-247,-9,-9
8,-35,-35,-35,1,1,1,-132,-132,-132,-132,-245,-245,-245,-245,1,-94,-94
10,-44,-44,-44,-44,-80,-80,-80,-80,1,-243,-243,-243,-243,1,1,-43,-43
11,-61,-61,-61,-61,-29,-29,-29,-29,-241,-241,-241,-241,-152,-152,-152,-152,1
12,-112,-112,-112,-112,1,1,-239,-239,-239,-239,-100,-100,-100,-100,-85,-85,-85
13,-18,-18,-18,1,-236,-236,-236,-236,-48,-48,-48,-48,1,1,1,-77,-77
14,-69,-69,-69,-233,-233,-233,-233,1,1,1,-134,-134,-134,-134,1,-145,-145
15,1,1,-230,-230,-230,-230,-30,-30,-30,-30,1,1,-135,-135,-135,-135,1
16,1,-228,-228,-228,-228,-55,-55,-55,-55,1,1,-24,-24,-24,-24,-162,-162
17,-95,-95,-95,-95,-148,-148,-148,-148,-99,-99,-99,-99,-226,-226,-226,-226,1
18,-27,-27,-27,-27,1,-123,-123,-123,-123,1,1,-224,-224,-224,-224,1,1
19,-1,-1,-1,-37,-37,-37,-37,1,1,1,-222,-222,-222,-222,-17,-17,-17
22,-52,-52,-52,-3,-3,-3,-3,1,1,-220,-220,-220,-220,-76,-76,-76,-76
23,1,1,-79,-79,-79,-79,1,1,-218,-218,-218,-218,1,1,-136,-136,-136
25,1,1,-207,-207,-207,-207,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,1,-36,-36,-36,-36,1,-216,-216,-216,-216,1,-126,-126,-126,-126,-60,-60
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,1,1,1,1,-213,-213,-213,-213,1,-57,-57,-57,-57,-127,-127,-127,-127
38,1,1,1,-210,-210,-210,-210,1,1,-125,-125,-125,-125,-110,-110,-110,-110
41,0,0,0,0,0,0,0,0,0,0,-49,-49,-49,-49,-204,-204,-204
42,1,-205,-205,-205,-205,-106,-106,-106,-106,-74,-74,-74,-74,-42,-42,-42,-42
43,1,1,-198,-198,-198,-198,0,0,0,0,0,0,0,0,0,0,0
45,1,1,1,1,-114,-114,-114,-114,-31,-31,-31,-31,-203,-203,-203,-203,1
46,1,-70,-70,-70,-70,-72,-72,-72,-72,1,-202,-202,-202,-202,-68,-68,-68
47,1,1,-130,-130,-130,-130,1,1,-201,-201,-201,-201,-33,-33,-33,-33,1
49,1,1,-96,-96,-96,-96,-200,-200,-200,-200,-15,-15,-15,-15,1,1,1
51,1,1,1,1,-199,-199,-199,-199,1,1,-117,-117,-117,-117,1,-128,-128
55,-197,-197,-197,-197,-63,-63,-63,-63,1,1,1,-58,-58,-58,-58,1,1
56,1,1,1,-105,-105,-105,-105,-39,-39,-39,-39,-109,-109,-109,-109,-196,-196
59,1,-189,-189,-189,-189,0,0,0,0,0,0,0,0,0,0,0,0
61,1,1,1,-71,-71,-71,-71,-90,-90,-90,-90,1,1,-195,-195,-195,-195
62,-129,-129,-129,-129,-46,-46,-46,-46,1,-193,-193,-193,-193,1,0,0,0
64,1,1,1,1,-131,-131,-131,-131,1,1,1,-194,-194,-194,-194,-26,-26
67,1,1,1,-122,-122,-122,-122,-192,-192,-192,-192,1,1,1,-102,-102,-102
68,1,-53,-53,-53,-53,-191,-191,-191,-191,1,1,-7,-7,-7,-7,1,1
69,1,1,1,-190,-190,-190,-190,-158,-158,-158,-158,-41,-41,-41,-41,-111,-111
70,-188,-188,-188,1,-97,-97,-97,-97,1,-108,-108,-108,-108,1,-119,-119,-119
73,1,1,-181,-181,-181,-181,0,0,0,0,0,0,0,0,0,0,0
74,1,1,-28,-28,-28,-28,-98,-98,-98,-98,-151,-151,-151,-151,-187,-187,-187
75,-86,-86,-86,1,1,-4,-4,-4,-4,1,1,1,-186,-186,-186,-186,1
76,1,1,-45,-45,-45,-45,-115,-115,-115,-115,-185,-185,-185,-185,-51,-51,-51
80,0,0,0,0,0,0,0,0,0,0,1,-75,-75,-75,-75,-179,-179
82,-78,-78,-78,-78,-12,-12,-12,-12,-184,-184,-184,-184,-84,-84,-84,-84,0
83,1,-104,-104,-104,-104,1,-183,-183,-183,-183,-32,-32,-32,-32,0,0,0
85,1,1,1,1,-182,-182,-182,-182,-116,-116,-116,-116,1,-161,-161,-161,-161
86,-180,-180,-180,-180,1,-157,-157,-157,-157,-159,-159,-159,-159,-8,-8,-8,-8
90,1,-87,-87,-87,-87,1,-47,-47,-47,-47,1,1,1,-178,-178,-178,-178
92,1,-172,-172,-172,-172,1,0,0,0,0,0,0,0,0,0,0,0
93,-171,-171,-171,1,1,1,0,0,0,0,0,0,0,0,0,0,0
94,1,1,-164,-164,-164,-164,0,0,0,0,0,0,0,0,0,0,0
95,-163,-163,-163,-163,1,1,0,0,0,0,0,0,0,0,0,0,0
96,1,1,1,-139,-139,-139,-139,-124,-124,-124,-124,-177,-177,-177,-177,1,1
97,1,1,-11,-11,-11,-11,1,1,1,-176,-176,-176,-176,-144,-144,-144,-144
99,1,-155,-155,-155,-155,1,0,0,0,0,0,0,0,0,0,0,0
104,1,1,-62,-62,-62,-62,1,-175,-175,-175,-175,1,-118,-118,-118,-118,1
108,1,-19,-19,-19,-19,-174,-174,-174,-174,-6,-6,-6,-6,1,-153,-153,-153
111,1,1,1,-173,-173,-173,-173,-56,-56,-56,-56,-92,-92,-92,-92,1,1
113,-154,-154,-154,1,1,1,0,0,0,0,0,0,0,0,0,0,0
114,1,1,-147,-147,-147,-147,0,0,0,0,0,0,0,0,0,0,0
115,-146,-146,-146,-146,1,1,0,0,0,0,0,0,0,0,0,0,0
117,-120,-120,-120,1,1,1,-81,-81,-81,-81,-83,-83,-83,-83,-170,-170,-170
118,1,-121,-121,-121,-121,1,1,-73,-73,-73,-73,1,-169,-169,-169,-169,1
120,1,1,-113,-113,-113,-113,-149,-149,-149,-149,-168,-168,-168,-168,-34,-34,-34
121,1,1,1,-20,-20,-20,-20,1,-167,-167,-167,-167,-16,-16,-16,-16,1
123,1,-138,-138,-138,-138,1,0,0,0,0,0,0,0,0,0,0,0
124,-10,-10,-10,-10,1,1,-166,-166,-166,-166,1,1,-67,-67,-67,-67,1
125,1,1,1,1,-165,-165,-165,-165,-150,-150,-150,-150,1,-25,-25,-25,-25
127,-137,-137,-137,1,1,1,0,0,0,0,0,0,0,0,0,0,0
