104,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
51,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
83,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0]"
75,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
97,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
53,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
59,"['tour','parasol']","[0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1]"
112,"['tour','parasol']","[1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]"
57,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
52,"['tour','parasol']","[1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0]"
111,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0]"
12,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
8,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
13,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
42,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
17,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
65,"['tour','parasol']","[1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]"
105,"['tour','parasol']","[0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0]"
50,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
58,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
101,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
118,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
72,"['tour','parasol']","[1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]"
129,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
22,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
86,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
14,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
82,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
125,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
37,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
96,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
10,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
43,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
46,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
73,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
68,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
107,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
34,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
76,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
26,"['tour','parasol']","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1]"
41,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
70,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1]"
55,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
116,"['parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
71,"['tour','parasol']","[1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0]"
16,"['tour','parasol']","[1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1]"
80,"['tour','parasol']","[0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1]"
18,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
117,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
110,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
127,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
91,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
19,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
109,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
69,"['tour','parasol']","[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1]"
64,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
115,"['tour','parasol']","[1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0]"
99,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
102,"['tour','parasol']","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]"
